Unnamed: 0;License Class;Year;Month;Trips Per Day;Trips Per Day Shared;Unique Vehicles
0;1;2022;1;13440;0;7136
1;1;2022;2;17521;0;7265
2;1;2022;3;17453;0;6909
3;1;2022;4;18597;0;7319
4;1;2022;5;16527;0;7202
5;1;2022;6;17040;0;7031
6;1;2022;7;15715;0;7248
7;1;2022;8;15140;0;6610
8;1;2022;9;17606;0;7084
9;1;2022;10;17377;0;7165
10;1;2022;11;17581;0;7394
11;1;2022;12;20152;0;7743
12;1;2023;1;16286;0;6903
13;1;2023;2;19630;0;6846
14;1;2023;3;21445;0;7102
15;1;2023;4;20381;0;6846
16;1;2023;5;21770;0;6844
17;1;2023;6;17742;0;6449
18;1;2023;8;21289;0;6643
19;1;2022;1;475854;0;66855
20;1;2022;2;572114;0;67536
21;1;2022;3;595270;0;69702
22;1;2022;4;591746;0;70281
23;1;2022;5;585714;0;71059
24;1;2022;6;592656;133;71552
25;1;2022;7;563353;853;71043
26;1;2022;8;554361;466;70497
27;1;2022;9;593114;443;72616
28;1;2022;10;622770;3573;73747
29;1;2022;11;602819;9397;74237
30;1;2022;12;634379;10672;74877
31;1;2023;1;596095;9998;74553
32;1;2023;2;641461;10811;74404
33;1;2023;3;658499;12983;75941
34;1;2023;4;638161;3515;76511
35;1;2023;5;640244;4318;77106
36;1;2023;6;645549;4201;77565
37;1;2023;7;617161;4795;77346
38;1;2023;8;591032;4485;77520
39;1;2022;1;22633;0;5470
40;1;2022;2;26237;0;5299
41;1;2022;3;26269;0;5186
42;1;2022;4;24329;0;4877
43;1;2022;5;22631;0;4627
44;1;2022;6;21855;0;4505
45;1;2022;7;20553;0;4562
46;1;2022;8;21030;0;4524
47;1;2022;9;21664;0;4492
48;1;2022;10;19930;0;4328
49;1;2022;11;19089;0;4328
50;1;2022;12;20097;0;4204
51;1;2023;1;19638;0;4747
52;1;2023;2;19739;0;4670
53;1;2023;3;20960;0;4797
54;1;2023;4;20791;0;5262
55;1;2023;5;22406;0;5361
56;1;2023;6;22559;0;5320
57;1;2023;7;25719;0;6552
58;1;2023;8;23514;0;5992
59;1;2022;1;763;0;1206
60;1;2022;2;1267;0;1416
61;1;2022;3;1405;0;1445
62;1;2022;4;1451;0;1552
63;1;2022;5;1265;0;1526
64;1;2022;6;1253;0;1551
65;1;2022;7;1041;0;1513
66;1;2022;8;986;0;1305
67;1;2022;9;1384;0;1664
68;1;2022;10;1428;0;1650
69;1;2022;11;1303;0;1611
70;1;2022;12;1120;0;1656
71;1;2023;1;1075;0;1482
72;1;2023;2;1192;0;1424
73;1;2023;3;1325;0;1560
74;1;2023;4;1201;0;1548
75;1;2023;5;1544;0;1622
76;1;2023;6;1245;0;1569
77;1;2023;7;933;0;1515
78;1;2023;8;1280;0;1730
79;0;2022;1;2016;0;1136
80;0;2022;2;2478;0;1085
81;0;2022;3;2532;0;1104
82;0;2022;4;2537;0;1027
83;0;2022;5;2482;0;1027
84;0;2022;6;2456;0;1004
85;0;2022;7;2070;0;940
86;0;2022;8;2126;0;924
87;0;2022;9;2300;0;928
88;0;2022;10;2236;0;929
89;0;2022;11;2076;0;910
90;0;2022;12;2336;0;942
91;0;2023;1;2199;0;911
92;0;2023;2;2313;0;891
93;0;2023;3;2323;0;884
94;0;2023;4;2179;0;884
95;0;2023;5;2231;0;879
96;0;2023;6;2184;0;855
97;0;2023;7;1978;0;850
98;0;2023;8;1957;0;853
99;0;2022;1;79212;0;6653
100;0;2022;2;106036;0;6734
101;0;2022;3;116628;0;6984
102;0;2022;4;119627;0;7053
103;0;2022;5;115896;0;7150
104;0;2022;6;118213;0;7246
105;0;2022;7;102052;0;7156
106;0;2022;8;101327;0;7169
107;0;2022;9;105917;0;7380
108;0;2022;10;118197;0;7585
109;0;2022;11;108146;0;7685
110;0;2022;12;109287;0;7791
111;0;2023;1;98569;0;7737
112;0;2023;2;103632;0;7886
113;0;2023;3;109230;0;8119
114;0;2023;4;109071;0;8172
115;0;2023;5;112843;0;8317
116;0;2023;6;109766;0;8384
117;0;2023;7;93315;0;8306
118;0;2023;8;90485;0;8341
